filename,description
X Stromatolite from Strelly Pool.jpg,"Stromatolites are fossil evidence of some of the earliest forms of life on earth, and some can be up to 3.45 billion years old! Stromatolites are formed when blankets of photosynthetic single-celled micro-organisms ""cement"" surrounding sediment in slowly growing layers."
"X Swarm of Nematocera in fossil amber, cretaceous period.jpg","Flowering plants make their first appearance during the Cretaceous Period, as did many familiar trees and shrubs, including poplar, magnolia, oak, and maple, and with them a number of successful pollinating insects like this Nematocera specimen trapped in amber in our collection."
X Tyrannosaur footprints in quarry and our collection.jpg AND X Tyrannosaur footprints.jpg,"Footprint fossils are important because they reveal the size of the animals that made them, their movement, and animal behavior. The 44,000 pounds of footprints collected at this site in Wyoming tell the story of tyrannosaurs ambushing a herd of hadrosaurs as they approached the river to drink."
"X White River Badlands, partial Hoplophoneus Sabertoothed Cat Skull.jpg","Searching for fossils in the Badlands is an unforgettable adventure. There is not a house, telephone pole, or any sign of modern civilization, conditions are hot, and without amenities. Most of the fossils from this region are from the Eocene, like this hoplophoneus (a saber cat) skull fragment."
"X Zircon crystal in rock from the Jack Hills, Australia.jpg","Zircon crystals are nearly indestructible, and are some of the only things to survive the hellish pressure and heat of the Haldean Eon, when the earth was formed. The oldest zircons are found in Jack Hills, Australia, where our specimen was found. It may be small, but it's 4.4 billion years old!"
XX A Marrellomorph named Furca mauretanica.jpg,"450 million years ago the majority of life in the oceans had soft bodies that did not fossilize very well. Their fossilized remains often appear as blurry stains upon a rock, but now and then a specimen is found with a well preserved body part, like this strange marrelomorph."
7000 year old bison teeth.jpg,"7,000 year old bison teeth found at the Cherney Bison Site. For a donation of $200 or more you can get your very own bison tooth as a thanks for helping fund the excavation of this incredibly unique fossil site in Coon Rapids, Minnesota."
7000 year old metatarsal (toe bone).jpg,"7,000 year old bison teeth found at the Cherney Bison Site. For a donation of $300 or more you can get your very own bison tooth as a thanks for helping fund the excavation of this incredibly unique fossil site in Coon Rapids, Minnesota."
Amber DAGGER FLY empididae.jpg,A dagger fly trapped in Baltic amber. We hope to raise money for a museum microscope so kids can examine insect specimens like this one!
Fish slab black.jpg,"A slab of rock containing multiple fish, found in the Green River Formation in Utah/Wyoming."
Fulgurite A ret.jpg,"While hunting for fossils, the unexpected is sometimes discovered. These finds can range from pottery shards to this fulgurite, or ""fossil lightning,"" formed when lightning strikes the ground."
Glossopteris from Antarctica.jpg,Glossopteris were the dominant trees across the supercontinent Gondwana during the Permian Period. Come see this and many other fossils and minerals in our collection that tell the story of Antarctica when it was a rainforest 270 million years ago.
Marius Flower Beetle Mycteridae Eurypinae.jpg,A flower beetle in baltic amber. We hope to raise money for a museum microscope so kids can examine insect specimens like this one!
Oreodont-in-den.jpg,"Oreodonts are extinct mammals that looked similar to pigs and sheep, but were more closely related to camels. They are the most commonly found fossil in the White River Badlands in South Dakota, and this exceptional specimen from our collection shows an oreodont curled up inside its burrow."
Our Tyrannosaur Skull (lythronax).jpg,"Lythronax translates to ""gore king"" and was a tyrannosaur that lived during the Late Cretaceous in Utah."
Pegmatite fragment from Urtites. 289g B.jpg,"Pegmatite is a type of igneus rock that frequently contains large crystals of quartz, feldspar, or mica. When looked at with a longwave UV flashlight, these minerals seem to glow! Kids at our museum can see this for themselves up close and personal."
Titanus giganteus a.jpg,Titanus giganteus is the world's largest beetle! They can grow up to 7 inches long and are native to tropical forests in South America.
"Trilobite Asaphus punctatus (Lessnikova, 1949) Trans Small.jpg","One of the trilobites from our ""time vault"" where kids can handle real fossils from all time periods!"
